# redshift	D_L [Mpc]	Age [yr]
1.00000000e-05	4.43090092e-02	1.37867408e+10
1.02096066e-05	4.52377626e-02	1.37867378e+10
1.04236067e-05	4.61859837e-02	1.37867347e+10
1.06420924e-05	4.71540804e-02	1.37867315e+10
1.08651577e-05	4.81424694e-02	1.37867283e+10
1.10928986e-05	4.91515760e-02	1.37867250e+10
1.13254132e-05	5.01818345e-02	1.37867216e+10
1.15628013e-05	5.12336884e-02	1.37867182e+10
1.18051653e-05	5.23075901e-02	1.37867147e+10
1.20526094e-05	5.34040020e-02	1.37867111e+10
1.23052400e-05	5.45233958e-02	1.37867075e+10
1.25631660e-05	5.56662533e-02	1.37867037e+10
1.28264983e-05	5.68330663e-02	1.37866999e+10
1.30953502e-05	5.80243370e-02	1.37866961e+10
1.33698374e-05	5.92405780e-02	1.37866921e+10
1.36500781e-05	6.04823127e-02	1.37866880e+10
1.39361927e-05	6.17500756e-02	1.37866839e+10
1.42283046e-05	6.30444122e-02	1.37866797e+10
1.45265393e-05	6.43658795e-02	1.37866754e+10
1.48310251e-05	6.57150463e-02	1.37866710e+10
1.51418933e-05	6.70924932e-02	1.37866665e+10
1.54592774e-05	6.84988130e-02	1.37866619e+10
1.57833141e-05	6.99346108e-02	1.37866572e+10
1.61141428e-05	7.14005047e-02	1.37866524e+10
1.64519059e-05	7.28971254e-02	1.37866475e+10
1.67967487e-05	7.44251171e-02	1.37866426e+10
1.71488197e-05	7.59851374e-02	1.37866375e+10
1.75082703e-05	7.75778576e-02	1.37866323e+10
1.78752553e-05	7.92039631e-02	1.37866270e+10
1.82499324e-05	8.08641539e-02	1.37866216e+10
1.86324631e-05	8.25591443e-02	1.37866160e+10
1.90230119e-05	8.42896639e-02	1.37866104e+10
1.94217468e-05	8.60564574e-02	1.37866046e+10
1.98288395e-05	8.78602851e-02	1.37865987e+10
2.02444651e-05	8.97019235e-02	1.37865927e+10
2.06688025e-05	9.15821650e-02	1.37865866e+10
2.11020343e-05	9.35018189e-02	1.37865803e+10
2.15443469e-05	9.54617113e-02	1.37865740e+10
2.19959307e-05	9.74626858e-02	1.37865674e+10
2.24569800e-05	9.95056034e-02	1.37865608e+10
2.29276931e-05	1.01591343e-01	1.37865540e+10
2.34082728e-05	1.03720803e-01	1.37865470e+10
2.38989257e-05	1.05894900e-01	1.37865399e+10
2.43998630e-05	1.08114569e-01	1.37865327e+10
2.49113003e-05	1.10380765e-01	1.37865253e+10
2.54334576e-05	1.12694464e-01	1.37865178e+10
2.59665597e-05	1.15056662e-01	1.37865101e+10
2.65108360e-05	1.17468375e-01	1.37865022e+10
2.70665207e-05	1.19930641e-01	1.37864942e+10
2.76338529e-05	1.22444519e-01	1.37864860e+10
2.82130768e-05	1.25011093e-01	1.37864776e+10
2.88044415e-05	1.27631466e-01	1.37864690e+10
2.94082017e-05	1.30306767e-01	1.37864603e+10
3.00246171e-05	1.33038146e-01	1.37864514e+10
3.06539530e-05	1.35826779e-01	1.37864423e+10
3.12964801e-05	1.38673866e-01	1.37864330e+10
3.19524751e-05	1.41580634e-01	1.37864235e+10
3.26222201e-05	1.44548332e-01	1.37864139e+10
3.33060034e-05	1.47578238e-01	1.37864040e+10
3.40041193e-05	1.50671656e-01	1.37863939e+10
3.47168682e-05	1.53829918e-01	1.37863836e+10
3.54445567e-05	1.57054382e-01	1.37863731e+10
3.61874981e-05	1.60346438e-01	1.37863624e+10
3.69460121e-05	1.63707500e-01	1.37863514e+10
3.77204249e-05	1.67139017e-01	1.37863402e+10
3.85110700e-05	1.70642465e-01	1.37863288e+10
3.93182876e-05	1.74219352e-01	1.37863171e+10
4.01424249e-05	1.77871217e-01	1.37863052e+10
4.09838367e-05	1.81599633e-01	1.37862930e+10
4.18428851e-05	1.85406204e-01	1.37862806e+10
4.27199397e-05	1.89292568e-01	1.37862680e+10
4.36153779e-05	1.93260398e-01	1.37862550e+10
