# redshift	D_L [Mpc]	Age [yr]
1.00000000e-05	4.32479532e-02	1.37687581e+10
1.02096066e-05	4.41544662e-02	1.37687551e+10
1.04236067e-05	4.50799806e-02	1.37687521e+10
1.06420924e-05	4.60248948e-02	1.37687490e+10
1.08651577e-05	4.69896153e-02	1.37687459e+10
1.10928986e-05	4.79745573e-02	1.37687426e+10
1.13254132e-05	4.89801447e-02	1.37687394e+10
1.15628013e-05	5.00068103e-02	1.37687360e+10
1.18051653e-05	5.10549959e-02	1.37687326e+10
1.20526094e-05	5.21251526e-02	1.37687291e+10
1.23052400e-05	5.32177408e-02	1.37687255e+10
1.25631660e-05	5.43332309e-02	1.37687219e+10
1.28264983e-05	5.54721029e-02	1.37687182e+10
1.30953502e-05	5.66348469e-02	1.37687144e+10
1.33698374e-05	5.78219632e-02	1.37687105e+10
1.36500781e-05	5.90339629e-02	1.37687066e+10
1.39361927e-05	6.02713674e-02	1.37687025e+10
1.42283046e-05	6.15347093e-02	1.37686984e+10
1.45265393e-05	6.28245322e-02	1.37686942e+10
1.48310251e-05	6.41413914e-02	1.37686899e+10
1.51418933e-05	6.54858534e-02	1.37686855e+10
1.54592774e-05	6.68584969e-02	1.37686811e+10
1.57833141e-05	6.82599126e-02	1.37686765e+10
1.61141428e-05	6.96907037e-02	1.37686718e+10
1.64519059e-05	7.11514859e-02	1.37686671e+10
1.67967487e-05	7.26428878e-02	1.37686622e+10
1.71488197e-05	7.41655514e-02	1.37686572e+10
1.75082703e-05	7.57201318e-02	1.37686522e+10
1.78752553e-05	7.73072982e-02	1.37686470e+10
1.82499324e-05	7.89277336e-02	1.37686417e+10
1.86324631e-05	8.05821353e-02	1.37686363e+10
1.90230119e-05	8.22712155e-02	1.37686308e+10
1.94217468e-05	8.39957010e-02	1.37686252e+10
1.98288395e-05	8.57563339e-02	1.37686194e+10
2.02444651e-05	8.75538720e-02	1.37686136e+10
2.06688025e-05	8.93890889e-02	1.37686076e+10
2.11020343e-05	9.12627745e-02	1.37686015e+10
2.15443469e-05	9.31757350e-02	1.37685952e+10
2.19959307e-05	9.51287939e-02	1.37685889e+10
2.24569800e-05	9.71227915e-02	1.37685824e+10
2.29276931e-05	9.91585862e-02	1.37685757e+10
2.34082728e-05	1.01237054e-01	1.37685689e+10
2.38989257e-05	1.03359090e-01	1.37685620e+10
2.43998630e-05	1.05525606e-01	1.37685550e+10
2.49113003e-05	1.07737536e-01	1.37685477e+10
2.54334576e-05	1.09995831e-01	1.37685404e+10
2.59665597e-05	1.12301464e-01	1.37685329e+10
2.65108360e-05	1.14655426e-01	1.37685252e+10
2.70665207e-05	1.17058730e-01	1.37685173e+10
2.76338529e-05	1.19512412e-01	1.37685093e+10
2.82130768e-05	1.22017527e-01	1.37685012e+10
2.88044415e-05	1.24575153e-01	1.37684928e+10
2.94082017e-05	1.27186391e-01	1.37684843e+10
3.00246171e-05	1.29852365e-01	1.37684756e+10
3.06539530e-05	1.32574222e-01	1.37684667e+10
3.12964801e-05	1.35353133e-01	1.37684577e+10
3.19524751e-05	1.38190296e-01	1.37684484e+10
3.26222201e-05	1.41086930e-01	1.37684390e+10
3.33060034e-05	1.44044283e-01	1.37684293e+10
3.40041193e-05	1.47063627e-01	1.37684195e+10
3.47168682e-05	1.50146262e-01	1.37684094e+10
3.54445567e-05	1.53293515e-01	1.37683992e+10
3.61874981e-05	1.56506740e-01	1.37683887e+10
3.69460121e-05	1.59787320e-01	1.37683780e+10
3.77204249e-05	1.63136667e-01	1.37683671e+10
3.85110700e-05	1.66556223e-01	1.37683559e+10
3.93182876e-05	1.70047460e-01	1.37683445e+10
4.01424249e-05	1.73611879e-01	1.37683329e+10
4.09838367e-05	1.77251016e-01	1.37683210e+10
4.18428851e-05	1.80966437e-01	1.37683089e+10
4.27199397e-05	1.84759741e-01	1.37682965e+10
4.36153779e-05	1.88632560e-01	1.37682839e+10
4.45295851e-05	1.92586561e-01	1.37682710e+10
4.54629547e-05	1.96623447e-01	1.37682579e+10
4.64158883e-05	2.00744955e-01	1.37682444e+10
4.73887961e-05	2.04952859e-01	1.37682307e+10
4.83820966e-05	2.09248970e-01	1.37682167e+10
4.93962174e-05	2.13635137e-01	1.37682024e+10
5.04315949e-05	2.18113248e-01	1.37681878e+10
5.14886745e-05	2.22685231e-01	1.37681729e+10
5.25679112e-05	2.27353053e-01	1.37681576e+10
5.36697695e-05	2.32118725e-01	1.37681421e+10
